IP,requests,downloads,downloadsPerRequests
248,191,1,0.005235602094240838
252,1,1,1.0
254,1748,1,0.0005720823798627002
255,3305,5,0.0015128593040847202
259,1891,0,0.0
268,3125,2,0.00064
271,165,3,0.01818181818181818
277,138,0,0.0
279,3141,3,0.0009551098376313276
280,1917,2,0.0010432968179447052
282,1739,1,0.0005750431282346176
283,683,2,0.0029282576866764276
284,184,0,0.0
288,847,0,0.0
290,5,1,0.2
291,156,1,0.00641025641025641
295,525,3,0.005714285714285714
301,1561,1,0.0006406149903907751
302,1731,2,0.0011554015020219526
315,2120,4,0.0018867924528301887
324,992,1,0.0010080645161290322
327,1274,1,0.0007849293563579278
340,710,0,0.0
341,1374,4,0.002911208151382824
344,188,1,0.005319148936170213
346,1085,3,0.0027649769585253456
353,2699,1,0.0003705075954057058
354,10,6,0.6
361,252,0,0.0
363,242,0,0.0
365,1966,4,0.002034587995930824
366,161,1,0.006211180124223602
368,790,2,0.002531645569620253
372,1103,1,0.0009066183136899365
373,365,2,0.005479452054794521
381,2494,2,0.0008019246190858059
387,479,1,0.0020876826722338203
390,276,1,0.0036231884057971015
391,527,1,0.0018975332068311196
392,1667,3,0.001799640071985603
394,503,1,0.0019880715705765406
400,95,1,0.010526315789473684
403,411,2,0.004866180048661801
405,1194,1,0.0008375209380234506
407,1664,2,0.001201923076923077
409,195,0,0.0
411,840,1,0.0011904761904761906
413,318,0,0.0
424,1492,1,0.0006702412868632708
429,12,0,0.0
432,1903,1,0.0005254860746190226
433,302,1,0.0033112582781456954
436,896,2,0.002232142857142857
439,1897,2,0.0010542962572482868
440,824,3,0.0036407766990291263
441,660,0,0.0
444,1158,1,0.0008635578583765112
445,1015,1,0.0009852216748768472
464,1964,3,0.0015274949083503055
466,1102,1,0.0009074410163339383
468,1697,3,0.0017678255745433118
469,420,0,0.0
470,369,1,0.0027100271002710027
472,949,0,0.0
475,1010,1,0.0009900990099009901
480,360,1,0.002777777777777778
488,1635,3,0.001834862385321101
493,253,0,0.0
499,263,0,0.0
501,323,0,0.0
502,897,1,0.0011148272017837235
509,974,1,0.001026694045174538
510,448,1,0.002232142857142857
514,157,1,0.006369426751592357
515,11,0,0.0
519,472,0,0.0
521,1092,3,0.0027472527472527475
522,545,0,0.0
525,1369,3,0.002191380569758948
531,1658,1,0.0006031363088057901
536,289,1,0.0034602076124567475
540,1251,3,0.002398081534772182
550,286,1,0.0034965034965034965
552,1038,3,0.002890173410404624
554,242,0,0.0
555,386,0,0.0
556,308,1,0.003246753246753247
563,2317,3,0.001294777729823047
564,63,1,0.015873015873015872
566,683,2,0.0029282576866764276
577,1306,1,0.0007656967840735069
586,54,0,0.0
591,281,0,0.0
594,180,1,0.005555555555555556
596,6062,4,0.0006598482349059716
598,1307,1,0.0007651109410864575
599,590,1,0.001694915254237288
603,290,0,0.0
605,296,0,0.0
611,363,1,0.0027548209366391185
623,930,0,0.0
624,79,0,0.0
625,6195,2,0.0003228410008071025
629,98,1,0.01020408163265306
631,425,2,0.004705882352941176
637,301,1,0.0033222591362126247
638,924,0,0.0
645,317,0,0.0
648,178,0,0.0
657,1219,2,0.0016406890894175555
658,2232,5,0.002240143369175627
659,759,0,0.0
667,97,1,0.010309278350515464
673,655,2,0.0030534351145038168
676,1695,2,0.0011799410029498525
677,22,1,0.045454545454545456
681,1636,1,0.0006112469437652812
685,1345,1,0.0007434944237918215
686,31,1,0.03225806451612903
700,997,3,0.003009027081243731
703,187,0,0.0
705,2217,1,0.0004510599909788002
706,574,2,0.003484320557491289
707,356,1,0.0028089887640449437
714,104,1,0.009615384615384616
715,2,0,0.0
716,473,0,0.0
723,677,1,0.0014771048744460858
724,1799,5,0.0027793218454697055
727,256,2,0.0078125
728,1825,2,0.001095890410958904
729,658,1,0.001519756838905775
738,909,3,0.0033003300330033004
740,144,0,0.0
742,1479,1,0.000676132521974307
744,170,1,0.0058823529411764705
745,616,1,0.0016233766233766235
746,1149,0,0.0
758,389,0,0.0
763,1032,1,0.0009689922480620155
766,193,0,0.0
767,1717,3,0.0017472335468841002
769,447,1,0.0022371364653243847
770,1168,1,0.0008561643835616438
776,158,0,0.0
779,39,1,0.02564102564102564
783,1373,2,0.0014566642388929353
785,580,0,0.0
789,3,1,0.3333333333333333
792,1085,2,0.0018433179723502304
793,377,0,0.0
794,339,1,0.0029498525073746312
798,51,1,0.0196078431372549
799,783,1,0.001277139208173691
800,178,0,0.0
802,331,1,0.0030211480362537764
806,1803,2,0.0011092623405435386
807,1032,2,0.001937984496124031
810,7,1,0.14285714285714285
812,1784,6,0.0033632286995515697
814,1056,0,0.0
815,1448,2,0.0013812154696132596
817,763,1,0.001310615989515072
820,149,1,0.006711409395973154
826,302,0,0.0
832,2559,4,0.0015631105900742479
833,1510,2,0.0013245033112582781
834,1057,2,0.001892147587511826
835,5716,2,0.0003498950314905528
837,871,1,0.001148105625717566
838,577,2,0.0034662045060658577
839,794,2,0.0025188916876574307
840,147,2,0.013605442176870748
841,206,0,0.0
843,1003,1,0.0009970089730807576
846,1352,1,0.0007396449704142012
847,688,3,0.00436046511627907
853,1618,4,0.002472187886279357
860,2570,3,0.0011673151750972762
866,46,0,0.0
868,673,2,0.0029717682020802376
869,1740,2,0.0011494252873563218
871,5596,7,0.0012508934953538242
873,1017,3,0.0029498525073746312
875,999,1,0.001001001001001001
878,340,1,0.0029411764705882353
879,1919,3,0.001563314226159458
885,2971,3,0.0010097610232245036
890,636,0,0.0
892,6413,3,0.0004677997816934352
912,323,2,0.006191950464396285
913,7902,9,0.0011389521640091116
915,438,2,0.0045662100456621
918,2935,1,0.00034071550255536625
924,2013,3,0.0014903129657228018
925,5676,4,0.0007047216349541931
927,433,1,0.0023094688221709007
933,904,0,0.0
936,35,0,0.0
943,2,2,1.0
944,8555,8,0.000935125657510228
947,2681,3,0.0011189854531891085
953,1890,4,0.0021164021164021165
956,413,1,0.002421307506053269
959,6265,7,0.0011173184357541898
960,2024,2,0.0009881422924901185
973,7644,10,0.0013082155939298796
974,6828,19,0.0027826596367896894
988,2624,3,0.0011432926829268292
991,1172,1,0.0008532423208191126
992,2,0,0.0
993,694,3,0.004322766570605188
1000,947,2,0.0021119324181626186
1003,3863,4,0.0010354646647683149
1012,2587,3,0.0011596443757247777
1016,932,2,0.002145922746781116
1025,4100,5,0.0012195121951219512
1029,171,0,0.0
1036,4681,3,0.000640888698995941
1041,3193,3,0.0009395552771688068
1044,1658,0,0.0
1046,570,1,0.0017543859649122807
1049,5766,3,0.0005202913631633715
1057,1122,1,0.00089126559714795
1067,3987,4,0.001003260596940055
1068,284,1,0.0035211267605633804
1070,1817,2,0.001100715465052284
1074,10366,6,0.0005788153579008296
1082,8234,6,0.0007286859363614282
1084,1016,1,0.000984251968503937
1086,1,0,0.0
1089,802,1,0.0012468827930174563
1091,9024,12,0.0013297872340425532
1092,3699,4,0.0010813733441470668
1097,757,1,0.001321003963011889
1099,711,1,0.0014064697609001407
1104,474,1,0.002109704641350211
1105,232,2,0.008620689655172414
1107,154,0,0.0
1108,5304,6,0.0011312217194570137
1112,68,0,0.0
1113,1423,0,0.0
1114,826,0,0.0
1117,4258,6,0.0014091122592766556
1127,1642,3,0.0018270401948842874
1140,681,3,0.004405286343612335
1141,317,0,0.0
1142,4528,3,0.0006625441696113075
1143,637,1,0.0015698587127158557
1147,249,1,0.004016064257028112
1149,733,3,0.004092769440654843
1169,192,1,0.005208333333333333
1173,736,1,0.001358695652173913
1176,8310,15,0.0018050541516245488
1179,888,2,0.0022522522522522522
1186,1733,3,0.0017311021350259665
1195,246,0,0.0
1197,278,0,0.0
1204,7589,7,0.0009223876663592041
1206,1946,0,0.0
1210,1109,2,0.0018034265103697023
1217,78,1,0.01282051282051282
1220,912,2,0.0021929824561403508
1228,265,1,0.0037735849056603774
1234,224,2,0.008928571428571428
1235,8821,11,0.0012470241469221177
1237,3070,4,0.0013029315960912053
1247,268,1,0.0037313432835820895
1256,8005,7,0.0008744534665833854
1261,2901,5,0.001723543605653223
1264,959,2,0.0020855057351407717
1266,640,2,0.003125
1268,1271,2,0.0015735641227380016
1273,709,1,0.0014104372355430183
1281,348,0,0.0
1285,7731,11,0.001422843099210969
1289,2210,2,0.0009049773755656109
1290,522,1,0.0019157088122605363
1292,3666,4,0.0010911074740861974
1293,225,1,0.0044444444444444444
1294,142,0,0.0
1304,1301,6,0.004611837048424289
1306,309,0,0.0
1308,404,0,0.0
1310,304,1,0.003289473684210526
1313,7986,8,0.0010017530678687703
1314,2406,3,0.0012468827930174563
1319,2510,1,0.00039840637450199205
1332,1238,4,0.0032310177705977385
1334,865,0,0.0
1335,1104,1,0.0009057971014492754
1337,7813,4,0.0005119672340970178
1343,7151,8,0.0011187246538945602
1355,1225,0,0.0
1360,557,1,0.0017953321364452424
1365,7320,6,0.000819672131147541
1370,2386,4,0.0016764459346186086
1372,6581,6,0.000911715544750038
1373,293,0,0.0
1376,1217,3,0.0024650780608052587
1382,1369,0,0.0
1388,444,2,0.0045045045045045045
1393,1704,3,0.0017605633802816902
1394,675,1,0.0014814814814814814
1395,7281,11,0.0015107814860596072
1402,17,1,0.058823529411764705
1413,2948,2,0.0006784260515603799
1414,768,1,0.0013020833333333333
1415,6366,13,0.0020420986490732014
1419,160,0,0.0
1421,181,0,0.0
1423,283,1,0.0035335689045936395
1425,629,0,0.0
1430,302,2,0.006622516556291391
1433,2052,2,0.0009746588693957114
1437,1468,1,0.0006811989100817438
1438,707,0,0.0
1439,7304,8,0.001095290251916758
1448,590,2,0.003389830508474576
1456,2207,2,0.0009062075215224287
1457,727,0,0.0
1460,505,0,0.0
1462,7039,11,0.0015627219775536298
1468,1510,2,0.0013245033112582781
1470,162,1,0.006172839506172839
1471,1348,2,0.001483679525222552
1477,234,0,0.0
1483,106,0,0.0
1485,869,0,0.0
1486,2199,1,0.00045475216007276033
1491,860,1,0.0011627906976744186
1493,957,4,0.0041797283176593526
1494,6092,5,0.0008207485226526593
1498,82,0,0.0
1503,2658,1,0.0003762227238525207
1504,1433,3,0.00209351011863224
1508,831,2,0.0024067388688327317
1517,2268,3,0.0013227513227513227
1519,6158,11,0.0017862942513803184
1524,3363,1,0.0002973535533749628
1528,1306,1,0.0007656967840735069
1532,152,0,0.0
1534,289,0,0.0
1543,2027,3,0.0014800197335964479
1547,878,1,0.0011389521640091116
1549,1277,2,0.0015661707126076742
1550,760,1,0.0013157894736842105
1551,72,1,0.013888888888888888
1556,2960,3,0.0010135135135135136
1557,550,3,0.005454545454545455
1560,1994,2,0.0010030090270812437
1564,702,0,0.0
1567,1180,0,0.0
1572,10,10,1.0
1575,22,0,0.0
1577,505,0,0.0
1579,1121,1,0.0008920606601248885
1583,575,1,0.0017391304347826088
1584,2592,1,0.00038580246913580245
1586,2013,1,0.0004967709885742673
1600,642,1,0.001557632398753894
1602,722,3,0.004155124653739612
1603,1258,1,0.000794912559618442
1610,1074,4,0.0037243947858473
1611,2683,0,0.0
1616,1380,2,0.0014492753623188406
1618,750,1,0.0013333333333333333
1626,2311,3,0.0012981393336218088
1629,254,1,0.003937007874015748
1630,1329,2,0.0015048908954100827
1632,1519,2,0.0013166556945358788
1634,3264,3,0.0009191176470588235
1638,1146,1,0.0008726003490401396
1640,927,1,0.0010787486515641855
1644,8,0,0.0
1646,7,1,0.14285714285714285
1655,818,1,0.0012224938875305623
1658,217,0,0.0
1659,7048,9,0.0012769580022701475
1661,1288,1,0.0007763975155279503
1665,1925,5,0.0025974025974025974
1669,1787,3,0.0016787912702853946
1673,1650,2,0.0012121212121212121
1675,1203,2,0.0016625103906899418
1688,657,1,0.0015220700152207
1693,722,3,0.004155124653739612
1694,6421,11,0.0017131287961376733
1695,723,2,0.0027662517289073307
1697,1498,1,0.0006675567423230974
1699,2203,5,0.0022696323195642307
1700,3674,2,0.0005443658138268917
1702,1229,1,0.0008136696501220504
1709,1273,1,0.0007855459544383347
1712,181,1,0.0055248618784530384
1713,199,0,0.0
1716,1596,3,0.0018796992481203006
1720,1276,1,0.0007836990595611285
1721,1890,4,0.0021164021164021165
1722,984,2,0.0020325203252032522
1728,1641,1,0.0006093845216331506
1732,1599,1,0.0006253908692933083
1740,59,0,0.0
1745,1015,2,0.0019704433497536944
1747,310,1,0.0032258064516129032
1748,1077,1,0.0009285051067780873
1755,1950,2,0.0010256410256410256
1759,1812,1,0.0005518763796909492
1761,524,0,0.0
1762,988,3,0.003036437246963563
1763,1073,1,0.0009319664492078285
1766,584,1,0.0017123287671232876
1768,1642,3,0.0018270401948842874
1769,1054,3,0.0028462998102466793
1771,243,0,0.0
1778,1479,1,0.000676132521974307
1780,2764,4,0.001447178002894356
1785,2224,1,0.0004496402877697842
1790,1001,0,0.0
1798,937,0,0.0
1801,1799,3,0.0016675931072818232
1803,240,1,0.004166666666666667
1806,760,1,0.0013157894736842105
1810,11010,5,0.00045413260672116256
1813,38,0,0.0
1815,2992,5,0.0016711229946524064
1821,1272,1,0.0007861635220125787
1826,404,0,0.0
1831,2028,1,0.0004930966469428008
1839,1468,4,0.0027247956403269754
1840,2288,5,0.0021853146853146855
1850,6,5,0.8333333333333334
1863,1617,0,0.0
1867,261,1,0.0038314176245210726
1868,1349,2,0.0014825796886582653
1871,1978,3,0.0015166835187057635
1878,407,1,0.002457002457002457
1881,3925,2,0.0005095541401273885
1890,6546,13,0.001985945615643141
1892,693,0,0.0
1895,1929,3,0.0015552099533437014
1909,4069,3,0.0007372818874416319
1919,6127,9,0.0014689081116370166
1921,328,0,0.0
1923,1810,3,0.0016574585635359116
1947,721,2,0.0027739251040221915
1964,685,3,0.004379562043795621
1975,375,0,0.0
1990,1485,0,0.0
1992,692,1,0.001445086705202312
1994,1762,3,0.00170261066969353
2011,666,1,0.0015015015015015015
2016,33,1,0.030303030303030304
2017,1432,1,0.0006983240223463687
2018,53,0,0.0
2022,1752,8,0.0045662100456621
2024,486,0,0.0
2027,4174,4,0.0009583133684714902
2052,4411,4,0.000906823849467241
2056,727,0,0.0
2069,3,2,0.6666666666666666
2070,122,1,0.00819672131147541
2076,22186,25,0.0011268367438925448
2085,615,0,0.0
2086,966,2,0.002070393374741201
2095,21328,21,0.0009846211552888221
2106,1344,1,0.000744047619047619
2112,334,1,0.0029940119760479044
2113,730,1,0.0013698630136986301
2114,999,2,0.002002002002002002
2123,3,1,0.3333333333333333
2127,3893,3,0.0007706139224248652
2128,1192,1,0.0008389261744966443
2139,145,1,0.006896551724137931
2140,391,1,0.0025575447570332483
2143,189,0,0.0
2144,353,0,0.0
2153,4398,4,0.0009095043201455207
2160,1629,1,0.0006138735420503376
2162,88,0,0.0
2164,1092,1,0.0009157509157509158
2165,282,1,0.0035460992907801418
2174,457,0,0.0
2176,158,0,0.0
2177,1488,2,0.0013440860215053765
2178,4557,3,0.0006583278472679394
2180,10471,19,0.0018145353834399772
2186,2314,1,0.000432152117545376
2187,1211,1,0.0008257638315441783
2189,7209,11,0.0015258704397281176
2196,994,2,0.002012072434607646
2199,462,1,0.0021645021645021645
2201,1440,3,0.0020833333333333333
2207,10415,15,0.0014402304368698992
2208,4049,3,0.0007409236848604594
2210,969,1,0.0010319917440660474
2211,7330,18,0.0024556616643929058
2228,7290,9,0.0012345679012345679
2235,2,0,0.0
2239,1349,3,0.002223869532987398
2249,804,0,0.0
2253,295,0,0.0
2254,7319,15,0.002049460308785353
2258,1266,2,0.001579778830963665
2259,4,0,0.0
2263,25,0,0.0
2272,2536,5,0.001971608832807571
2277,1431,1,0.0006988120195667365
2281,361,0,0.0
2284,10281,6,0.0005836008170411438
2286,200,1,0.005
2290,1713,2,0.0011675423234092236
2293,4445,12,0.0026996625421822273
2306,2443,3,0.0012279983626688497
2308,398,1,0.002512562814070352
2310,247,0,0.0
2315,123,0,0.0
2321,4198,8,0.0019056693663649356
2325,4,0,0.0
2332,10489,8,0.0007627037849175327
2334,1235,1,0.0008097165991902834
2336,1491,3,0.002012072434607646
2337,220,1,0.004545454545454545
2343,1465,1,0.0006825938566552901
2348,3952,4,0.0010121457489878543
2357,1767,1,0.0005659309564233164
2358,6926,9,0.0012994513427663876
2359,715,1,0.0013986013986013986
2363,433,1,0.0023094688221709007
2364,1071,0,0.0
2369,448,1,0.002232142857142857
2372,3845,4,0.0010403120936280884
2373,3,1,0.3333333333333333
2378,1821,4,0.002196595277320154
2379,66,0,0.0
2382,6783,7,0.0010319917440660474
2385,1777,5,0.0028137310073157004
2387,1086,0,0.0
2388,1910,6,0.0031413612565445027
2391,1472,1,0.0006793478260869565
2399,1433,3,0.00209351011863224
2404,1531,1,0.0006531678641410843
2407,2067,4,0.0019351717464925011
2409,1416,5,0.0035310734463276836
2415,1367,2,0.001463057790782736
2420,1375,0,0.0
2432,171,0,0.0
2433,1758,4,0.0022753128555176336
2435,100,3,0.03
2437,1969,3,0.0015236160487557136
2439,639,0,0.0
2440,1446,1,0.0006915629322268327
2441,1193,3,0.002514668901927913
2442,1080,1,0.000925925925925926
2448,280,1,0.0035714285714285713
2450,3008,3,0.0009973404255319148
2458,312,0,0.0
2461,84,0,0.0
2463,2892,9,0.0031120331950207467
2468,1735,3,0.001729106628242075
2469,952,1,0.0010504201680672268
2470,108,0,0.0
2471,942,1,0.0010615711252653928
2478,1872,1,0.0005341880341880342
2479,54,1,0.018518518518518517
2481,1551,0,0.0
2488,1317,2,0.0015186028853454822
2490,113,1,0.008849557522123894
2491,2611,2,0.0007659900421294523
2494,609,2,0.003284072249589491
2498,1320,1,0.0007575757575757576
2502,1466,1,0.0006821282401091405
2508,1626,4,0.0024600246002460025
2509,1534,3,0.001955671447196871
2510,194,0,0.0
2511,2059,4,0.001942690626517727
2513,1409,2,0.0014194464158978
2517,717,0,0.0
2520,1011,4,0.003956478733926805
2522,75,0,0.0
2528,4638,4,0.0008624407072013799
2531,249,0,0.0
2535,445,1,0.0022471910112359553
2538,290,1,0.0034482758620689655
2539,3556,2,0.0005624296962879641
2544,4119,2,0.00048555474629764507
2546,698,1,0.0014326647564469914
2547,141,0,0.0
2550,274,3,0.010948905109489052
2561,1549,6,0.003873466752743706
2563,1557,0,0.0
2564,14164,7,0.000494210674950579
2565,5215,5,0.0009587727708533077
2572,1784,4,0.002242152466367713
2574,3398,6,0.0017657445556209534
2577,115,0,0.0
2578,4443,3,0.0006752194463200541
2579,1472,1,0.0006793478260869565
2585,1523,2,0.0013131976362442547
2588,317,2,0.006309148264984227
2589,2386,1,0.00041911148365465214
2595,279,1,0.0035842293906810036
2596,1546,3,0.0019404915912031048
2600,13571,1,7.36865374696043e-05
2603,5369,8,0.001490035388340473
2606,2,2,1.0
2608,577,2,0.0034662045060658577
2614,1551,1,0.0006447453255963894
2615,599,2,0.00333889816360601
2616,654,1,0.0015290519877675841
2620,916,1,0.001091703056768559
2621,801,1,0.0012484394506866417
2631,590,0,0.0
2635,164,0,0.0
2636,646,1,0.0015479876160990713
2638,840,1,0.0011904761904761906
2639,568,0,0.0
2642,1737,2,0.0011514104778353484
2643,5557,2,0.00035990642432967427
2647,4544,3,0.0006602112676056338
2649,789,0,0.0
2651,339,0,0.0
2655,103,0,0.0
2656,181,0,0.0
2657,628,0,0.0
2658,773,1,0.00129366106080207
2660,1399,0,0.0
2664,48,0,0.0
2665,517,0,0.0
2666,289,1,0.0034602076124567475
2667,2,1,0.5
2669,871,1,0.001148105625717566
2671,5812,2,0.00034411562284927734
2672,6,1,0.16666666666666666
2677,706,1,0.00141643059490085
2679,1134,4,0.003527336860670194
2680,490,1,0.0020408163265306124
2682,262,2,0.007633587786259542
2683,886,0,0.0
2684,1014,1,0.0009861932938856016
2686,102,1,0.00980392156862745
2694,202,0,0.0
2696,1662,1,0.0006016847172081829
2698,5734,6,0.0010463899546564353
2706,242,1,0.004132231404958678
2707,344,0,0.0
2708,817,2,0.0024479804161566705
2710,958,1,0.0010438413361169101
2711,224,1,0.004464285714285714
2712,161,0,0.0
2713,916,2,0.002183406113537118
2714,913,2,0.002190580503833516
2720,506,0,0.0
2724,10,1,0.1
2725,225,0,0.0
2726,469,1,0.0021321961620469083
2728,5488,4,0.0007288629737609329
2730,127,0,0.0
2732,1193,3,0.002514668901927913
2733,146,1,0.00684931506849315
2735,1019,1,0.0009813542688910696
2736,144,0,0.0
2740,695,0,0.0
2741,846,0,0.0
2742,1908,2,0.0010482180293501049
2746,717,2,0.002789400278940028
2748,3441,2,0.0005812263876780006
2751,477,1,0.0020964360587002098
2753,1745,0,0.0
2759,6905,8,0.0011585807385952208
2760,1325,3,0.0022641509433962265
2761,1542,4,0.0025940337224383916
2762,23,0,0.0
2763,627,0,0.0
2765,538,0,0.0
2769,1,1,1.0
2770,13393,1,7.466587023071754e-05
2773,296,0,0.0
2774,1459,2,0.0013708019191226869
2778,333,1,0.003003003003003003
2780,2337,1,0.0004278990158322636
2782,617,1,0.0016207455429497568
2784,861,2,0.0023228803716608595
2785,465,1,0.002150537634408602
2786,1660,2,0.0012048192771084338
2788,931,1,0.0010741138560687433
2794,95,1,0.010526315789473684
2799,2361,2,0.0008470986869970351
2800,1340,1,0.0007462686567164179
2801,235,1,0.00425531914893617
2805,10403,4,0.00038450446986446215
2808,1593,0,0.0
2810,6902,10,0.0014488554042306578
2813,1139,3,0.0026338893766461808
2814,482,2,0.004149377593360996
2818,783,3,0.0038314176245210726
2821,2580,5,0.001937984496124031
2822,505,1,0.0019801980198019802
2825,897,0,0.0
2827,1676,1,0.0005966587112171838
2828,855,0,0.0
2830,79,0,0.0
2840,513,1,0.001949317738791423
2841,1487,1,0.0006724949562878278
2842,587,2,0.0034071550255536627
2844,1084,2,0.0018450184501845018
2847,37,1,0.02702702702702703
2849,1998,2,0.001001001001001001
2850,760,1,0.0013157894736842105
2851,380,0,0.0
2852,172,1,0.005813953488372093
2857,1161,1,0.0008613264427217916
2858,2708,3,0.0011078286558345643
2860,1428,1,0.0007002801120448179
2864,2054,2,0.0009737098344693282
2868,1005,3,0.0029850746268656717
2869,53,0,0.0
2871,882,3,0.003401360544217687
2872,2275,4,0.0017582417582417582
2875,223,1,0.004484304932735426
2876,1170,1,0.0008547008547008547
2881,1520,3,0.001973684210526316
2884,439,1,0.002277904328018223
2886,1855,3,0.0016172506738544475
2895,1551,1,0.0006447453255963894
2896,1641,3,0.0018281535648994515
2899,426,0,0.0
2904,1195,2,0.0016736401673640166
2907,1626,1,0.0006150061500615006
2911,1388,1,0.0007204610951008645
2917,206,1,0.0048543689320388345
2918,621,1,0.001610305958132045
2919,2064,2,0.0009689922480620155
2920,1328,2,0.0015060240963855422
2929,1588,2,0.0012594458438287153
2933,528,1,0.001893939393939394
2936,1291,4,0.003098373353989156
2937,1879,0,0.0
2938,1644,2,0.0012165450121654502
2941,3350,2,0.0005970149253731343
2943,285,1,0.0035087719298245615
2944,1551,5,0.003223726627981947
2949,314,0,0.0
2955,270,3,0.011111111111111112
2959,1929,1,0.0005184033177812338
2960,126,1,0.007936507936507936
2962,1430,2,0.0013986013986013986
2965,1640,1,0.0006097560975609756
2966,222,0,0.0
2970,945,0,0.0
2976,1757,3,0.001707455890722823
2979,1433,3,0.00209351011863224
2980,67,1,0.014925373134328358
2982,3076,0,0.0
2985,39,0,0.0
2986,370,1,0.002702702702702703
2988,1499,1,0.00066711140760507
2994,242,1,0.004132231404958678
2996,1696,5,0.00294811320754717
3002,1381,3,0.002172338884866039
3005,1562,2,0.0012804097311139564
3009,4565,5,0.001095290251916758
3015,236,1,0.00423728813559322
3017,734,1,0.0013623978201634877
3020,1203,1,0.0008312551953449709
3033,1489,2,0.001343183344526528
3038,4321,1,0.00023142791020597085
3040,2,0,0.0
3041,864,0,0.0
3045,757,1,0.001321003963011889
3047,12,1,0.08333333333333333
3048,1189,1,0.0008410428931875525
3052,419,0,0.0
3066,382,0,0.0
3067,1627,3,0.0018438844499078057
3071,4440,6,0.0013513513513513514
3073,2008,1,0.00049800796812749
3080,114,0,0.0
3081,723,0,0.0
3082,232,1,0.004310344827586207
3084,1157,1,0.000864304235090752
3085,2282,3,0.0013146362839614374
3088,137,0,0.0
3093,1829,6,0.0032804811372334607
3095,582,3,0.005154639175257732
3101,1684,1,0.0005938242280285036
3102,4431,2,0.0004513653802753329
3103,1718,3,0.0017462165308498253
3104,49,0,0.0
3106,426,0,0.0
3109,436,1,0.0022935779816513763
3111,682,2,0.002932551319648094
3113,2556,5,0.0019561815336463224
3118,507,0,0.0
3128,6,1,0.16666666666666666
3131,1681,3,0.001784651992861392
3133,4423,4,0.0009043635541487678
3139,2275,3,0.0013186813186813187
3143,19,0,0.0
3151,1519,1,0.0006583278472679394
3157,369,0,0.0
3162,4441,6,0.0013510470614726414
3163,1945,2,0.0010282776349614395
3165,159,0,0.0
3167,2462,1,0.00040617384240454913
3178,8753,21,0.0023991774248828973
3179,1695,1,0.0005899705014749262
3180,1485,4,0.0026936026936026937
3183,1646,1,0.0006075334143377885
3189,1005,2,0.001990049751243781
3190,607,1,0.0016474464579901153
3192,51,0,0.0
3196,2371,2,0.0008435259384226065
3197,6082,9,0.00147977638934561
3210,8748,20,0.002286236854138089
3212,1584,2,0.0012626262626262627
3214,1060,1,0.0009433962264150943
3218,2067,2,0.0009675858732462506
3219,6898,6,0.0008698173383589446
3222,107,0,0.0
3225,2397,3,0.0012515644555694619
3235,107,0,0.0
3238,252,0,0.0
3239,7649,11,0.0014380964832004183
3241,1720,1,0.0005813953488372093
3247,734,1,0.0013623978201634877
3249,156,3,0.019230769230769232
3253,1215,1,0.0008230452674897119
3262,7966,13,0.001631935726839066
3266,1029,2,0.001943634596695821
3268,428,0,0.0
3269,298,1,0.003355704697986577
3271,2830,6,0.0021201413427561835
3279,5119,8,0.0015628052353975385
